input_statement,statement_type,A,D,I,B,C,O
Most of the ideas in this document are known to experienced developers.,explanation,,,,ideas in this document,are known to experienced developers,
MANAGEMENT PRINCIPLES,unknown,,,,,,
"There are many models of development management, of which different variations of Agile are now prevailing.",explanation,,,,,,
"Moreover, this methodology has acquired the status of dogma and has expectedly spawned sects of fanatics.",explanation,,,,this methodology,has acquired the status of dogma and has spawned sects of fanatics,
"We do not follow any ready-made model and use our own, taking the best of different approaches.",explanation,we,,follow,any ready-made model,"and use our own, taking the best of different approaches",
"At the same time, we avoid dogmatism and the temptation to ""bronze"".",explanation,,,,,"at the same time, avoiding dogmatism and the temptation to 'bronze'",
What we take from Agile is flexibility.,explanation,,,,,,
This means that we change any interfering rules.,explanation,we,,change,any interfering rules,that,
Iterativity and related rituals are not necessary because of the specifics of our software consumers.,explanation,,,,iterativity and related rituals,because of the specifics of our software consumers,
We keep the lack of hierarchy in anarchic self-organization:,explanation,,,,,,
- direct communication of everyone with everyone on any issue,unknown,,,,,,
- direct communication between developer and customer,unknown,,,,,,
- network organization of working groups,unknown,,,,,,
- multiple roles of a participant depending on his involvement in a particular project.,unknown,,,,,,
"(technical leader in project A, executor in project B, customer in project C)",unknown,,,,,,
From free software development techniques we take the version control system and the bug accounting system.,explanation,,,,,from free software development techniques,
"These systems were widely used in the early 90's in the framework of Mozilla project and other free software development,",explanation,,,,,,
although for some reason they are considered to be attributes of Agile.,explanation,,,,,although for some reason they are considered to be attributes of Agile,
"From the bureaucracy of project development we take historicity, the ability to find something that has already been there once.",explanation,,,,,from the bureaucracy of project development,
Remember: LIFE is the self-organization of chaotic matter.,explanation,,,,,,
Chaos is characterized by self-organization on energy flows.,explanation,,,,chaos,self-organization on energy flows,
We are this CHAOS.,unknown,,,,,,
LIFE itself will correct us when we begin to slouch (not some magic techniques).,explanation,,,,,,
CODING PRINCIPLES,unknown,,,,,,
*,unknown,,,,,,
"In coding style, the main thing is names.",explanation,,,,,,
Not brackets and indents.,unknown,,,,,,
"The ability to name, to name, is an indicator of the developer's level.",explanation,,,name,,,
"If you give a good and appropriate name to a variable or function or class, everything else will almost automatically be good.",explanation,you,,give a good and appropriate name,variable or function or class,if you give a good and appropriate name,
"If the opposite is true, then almost automatically everything else will be bad.",explanation,,,,,if the opposite is true,everything else will be bad
A good name doesn't mean a long name.,explanation,,,,,,
"It means appropriate, suitable, apt, accurately reflecting the essence, best characterized,",explanation,,,,,,
"grammatically correct, usable and recognizable by others in a similar context.",explanation,,,,,,
"You may have noticed that in Visual Studio's Refactoring submenu, the Rename item comes first.",explanation,,,,,,
A wrong choice will sprout in the code forever!,unknown,,,,,,
Be afraid of misprints like imfo or autometic - you make a mistake once and for all.,explanation,,,,,,
"Worst of all, if such a misprinted identifier gets into the interface!!!",unknown,,,,,,
"If you have code spread across several subsystems in different programming languages and interfaces, use the same name everywhere.",norm,you,,use the same name,name,everywhere,
"It's hard to look for inconsistencies when a variable sounds like errno in C++, is passed to HTTP API as errLvl,",explanation,,,,,,
and in the logs it is written as errorLevel.,explanation,,,,,"in the logs, as errorLevel",
* Comments explain what well-chosen names don't.,explanation,,,,well-chosen names,what comments do,
We have a lot of magic being used.,unknown,,,,,,
"Explain _intentions_ other than _methods_, as much as possible, with extended comments.",explanation,implied actor,,explain,_intentions_ other than _methods_,"as much as possible, with extended comments",
"One should write not only ""what I do and how I do it"", but primarily ""why I do it, what goal I achieve, what problem I solve"".",norm,,should,write,"what I do and how I do it, why I do it, what goal I achieve, what problem I solve",,
bad,unknown,,,,,,
// allocate memory in a remote process and run shell code,unknown,,,,,,
good,unknown,,,,,,
"// we need to remove hooks on such and such function in the remote process, because otherwise this and that won't work.",unknown,,,,,,
"// so we allocate memory in the remote process and run the shell code, which is taken from here from the github https://....",unknown,,,,,,
// the shell code will find such and such bytes in the prologue of such and such function and patch them to the ones we need.,unknown,,,,,,
"// there were also variants one (link) and two (link), but they don't work well on such and such systems.",unknown,,,,,,
In compiled programming languages (hereinafter referred to as PHP) comments are written in Russian.,explanation,,,write,comments,in Russian,
"In interpreted languages, comments and identifiers are in English only, only grammatically clean!",norm,,should,be in English,comments and identifiers,"in interpreted languages, only grammatically clean",
Scripts that have fallen to the enemy must not indicate your nationality.,rule,scripts,must not,indicate,nationality,,
* The best code is the one that doesn't exist.,explanation,,,,,,
Don't write too much.,norm,you,don't,write,too much,,
Don't make plans for years to come.,norm,you,don't,make plans,for years to come,,
"""Tomorrow may never come, and no one will need it.",unknown,,,,,,
"""Tomorrow"" will turn out to be wrong.",explanation,,,turn out,wrong,tomorrow,
"Brevity, minimalism is everything.",explanation,,,,,,
Don't create entities.,rule,you,don't,create,entities,,
That's the greatest sin of an engineer!,explanation,,,,,,
"Cut off all unnecessary things with Occam's Razor - frameworks, OOP, third-party libraries, wrappers.",explanation,implied actor,,cut off,unnecessary things,"with Occam's Razor - frameworks, OOP, third-party libraries, wrappers",
Ideal code should occupy zero bytes (this is a real case when using someone else's software).,explanation,,,occupy,zero bytes,,
* there is no sense in writing code if it has already been written by someone else.,explanation,,,,,,
"Before writing it, search the Web.",explanation,implied actor,,write,it,before searching the Web,
"If you have taken someone else's code, be sure to put a link to the source code where it was taken from.",norm,you,should,put a link,to the source code,where it was taken from,
ERROR HANDLING,unknown,,,,,,
We suggest the following method of error handling in code:,explanation,we,,suggest,the following method of error handling in code,,
- C++ exceptions are not used,norm,,,use,C++ exceptions,,
- SEH/VEH exceptions are used only for removing the postmortem stack or for protecting dangerous code sections (e.g. execution of arbitrary shell code).,explanation,,,use,SEH/VEH exceptions,only for removing the postmortem stack or for protecting dangerous code sections (e.g. execution of arbitrary shell code),
"(for example, execution of arbitrary shell code)",unknown,,,,,,
"- all functions write about the error immediately in stderr, preceding the line with the function name.",rule,functions,,write,about the error in stderr,preceding the line with the function name,
For example:,unknown,,,,,,
"fprintf(stderr, __FUNCTION__",unknown,,,,,,
""" Invalid file handle\r\n"");",unknown,,,,,,
"- if the function returns a collection (for example, of found characters), then in case of an error the return is an empty collection;",explanation,,,return,a collection,"if the function returns a collection (for example, of found characters), then in case of an error",an empty collection
"- if the function returns a pointer, then NULL is an error;",unknown,,,,,,
"- if the function returns a string, an empty string is an error;",unknown,,,,,,
"- if the function returns an integer, 0 or -1 is an error;",unknown,,,,,,
"The calling context checks the return, and if it is unexpected and there is no way to substitute a default value,",explanation,calling context,,check,return,if it is unexpected and there is no way to substitute a default value,
we make the return from the current location according to the above error signaling rules.,explanation,we,,make the return,from the current location,according to the above error signaling rules,
GIT POLICY,unknown,,,,,,
"* We use Git not because everyone else does, but to accomplish these tasks:",explanation,,,,,,
1. Backup.,unknown,,,,,,
"We've seen many cases of work lost over long periods of time (months, and once a year), simply due to developer sloppiness.",explanation,,,,,,
2.,unknown,,,,,,
Multiple people working together on a project,unknown,,,,,,
3. Finding the author of specific lines of code,unknown,,,,,,
4. Finding a regression by rolling back and successive builds through history,explanation,,,find,regression,by rolling back and successive builds through history,
5.,unknown,,,,,,
"Maintaining the history of changes (Release notes, Changelog)",explanation,,,maintain,history of changes,"(Release notes, Changelog)",
6.,unknown,,,,,,
"Versioning, release management",unknown,,,,,,
That's why the rules below are written for these benefits.,explanation,,,,rules,for these benefits,
There may be other rules for other tasks.,explanation,,may,,,,
"* Commits are mandatory whenever there is something to commit (that is, just about every day).",rule,implied actor,mandatory,commit,commits,whenever there is something to commit,
"Even if the code is down and not finished, commit to a temporary branch.",explanation,implied actor,,commit,code,to a temporary branch,
It's better than losing a day's work.,explanation,,,,,,
"* It is desirable to keep stable code in a separate branch, and inject only checked changes into it.",norm,implied actor,desirable,"keep, inject","stable code, checked changes",in a separate branch,
"* If a project has versions, each version corresponds to either a branch (if it is passed for support),",explanation,,,,,,
or a label (if only historical without support).,unknown,,,,,,
"* If you are alone on the project, you maintain branches as you like.",norm,you,,maintain,branches,as you like,
"* If more than one person is on the project, then development should be done in a private branch.",norm,implied actor,should,develop,development,in a private branch,
Merging into the main branch is always done by a double merge.,norm,implied actor,always,merge,into the main branch,,
- first from the main branch to your branch (with conflict resolution and smoke test).,unknown,,,,,,
- then from its own branch to the main branch.,unknown,,,,,,
*,unknown,,,,,,
"A commit should always have a comment, in Russian, describing the brief essence of the changes.",norm,implied actor,should,have,comment,"in Russian, describing the brief essence of the changes",
"For example: ""Fix network buffer overflow on high frequency of requests"".",explanation,,,,,on high frequency of requests,
"The comment should include the number of the bug or task from the accounting system,",norm,implied actor,should,include,comment,the number of the bug or task from the accounting system,
"For example: ""B-1655 Fix network buffer overflow on high request frequency"".",unknown,,,,,,
"When you put the bug ID, Git's integration with the bug accounting system will automatically associate the commit with the bug.",explanation,you,,associate,the commit with the bug,"when you put the bug ID, and Git's integration with the bug accounting system is active",
* Commits should be atomic and minimal.,norm,implied actor,,commit,atomic and minimal,,
One commit is one bug/task.,explanation,implied actor,,commit,one bug/task,,
This means that you can no longer fug a git push without figuring it out directly from the project directory.,rule,you,can no longer,fug a git push,,without figuring it out directly from the project directory,
"If you are command line, you should list the files by name and make sure to diff with upstream before committing.",norm,you,should,"list, diff, commit",files,"by name, with upstream",
Only those files that are related to a single task are commited.,rule,implied actor,must not,commit,those files,that are related to a single task,
Only those lines of a file that are relevant to a single task are committed.,rule,implied actor,must not,commit,those lines of a file,that are relevant to a single task,
"If this rule is not followed, the following benefits of Git become unavailable or difficult to achieve:",rule,,,,benefits of Git,if this rule is not followed,become unavailable or difficult to achieve
- cherry pick (moving code between non-synchronous branches),unknown,,,,,,
- blame (finding the author of the code) becomes very noisy,unknown,,,,,,
"- searching for regressions by successive builds through history (when an error occurs in such a commit, it is impossible to tell which change it refers to)",explanation,,,,,,
* Use UI utilities to work with Git.,unknown,,,,,,
"They show you exactly what has been changed relative to the main branch,",explanation,,,show,what has been changed,relative to the main branch,
"allow you to send only individual lines from the file, and ignore your personal debugging changes and customizations,",explanation,you,,send,individual lines from the file,and ignore your personal debugging changes and customizations,
that shouldn't make it to the server.,unknown,,,,,,
* It is forbidden to commit,rule,implied actor,forbidden,commit,,,
"- any texts with real names, nicknames, passwords, URLs and IP addresses of our resources, addresses of cryptocurrencies, etc., etc. (unless specifically stated).",unknown,,,,,,
- archives and binary files that are not part of the project build steps,unknown,,,,,,
BUG ACCOUNTING AND PROJECT DEVELOPMENT SYSTEM,unknown,,,,,,
"We use this system not because everyone uses them, but for the following tasks:",explanation,,,,,,
1.,unknown,,,,,,
To reduce writing.,unknown,,,,,,
"You can poke at a text that has already been written, instead of writing to someone repeatedly.",explanation,you,can,poke at,a text that has already been written,,
"It can be a task text, a comment describing the steps of reproducing an error, a picture or a log in an attachment.",explanation,,,,,,
2.,unknown,,,,,,
To find the ends (historicity).,unknown,,,,,,
"Errors can be repeated, especially floating errors.",explanation,,can,repeat,errors,especially floating errors,
A large number of errors are grouped around the same code lines.,explanation,,,,,,
"In short, the situation ""this has already happened"" is frequent.",explanation,,,,,,
3.,unknown,,,,,,
For knowledge concentration and analytics.,unknown,,,,,,
After some time a considerable amount of information is accumulated in the system.,explanation,,,,information,"after some time, a considerable amount is accumulated in the system",
"Where should a developer or manager go for information, but not to this system?",unknown,,,,,,
4.,unknown,,,,,,
For development management.,unknown,,,,,,
"Maintaining a list of tasks, assigning tasks to executors, prioritizing, tracking work stages, scheduling.",explanation,implied actor,,"maintain, assign, prioritize, track, schedule",list of tasks,,
"Fellow developers, when there are a hundred of you and I am one (well, two or three), it is very hard to keep it all in my head.",explanation,,,,,,
"A bug tracker is, among other things, your work log.",explanation,,,,bug tracker,your work log,
"When working on a task, it is normal to write down notes for yourself.",explanation,implied actor,,write down,notes,when working on a task,
"When something works or something doesn't work - notes like ""this didn't work, here's the problem formulation"" are very valuable.",explanation,,,,,,
RULES FOR WRITING ERROR REPORTS,unknown,,,,,,
See the corresponding document.,unknown,,,,,,
