input_statement,statement_type,A,D,I,B,C,O
CODE REQUIREMENTS,unknown,,,,,,
1.,unknown,,,,,,
You should minimize the use of Visual C++ Runtime.,norm,you,should,minimize,use of Visual C++ Runtime,,
"Functions malloc, memcpy, str* should be avoided.",norm,implied actor,should be avoided,avoid,"functions malloc, memcpy, str*",,
"WinAPI already has everything you need - instead of malloc - HeapAlloc, instead of memcpy - CopyMemory, instead of strstr - StrStr (shlwapi.h/.lib).",explanation,,,,,,
CRT adds quite a lot of unnecessary code to the binary.,explanation,,,,unnecessary code,to the binary,
1.1 The STL should generally be avoided.,norm,,should,avoid,STL,generally,
1.2.,unknown,,,,,,
Some STL chips give extra prologue to the code.,unknown,,,,,,
For std::mutex it weighs 200k.,unknown,,,,,,
"It is not visible in your code, but it is there, and will behave strangely in the context of execution!",explanation,,,,,,
2. linking of rantime and third-party libraries to the module should be static (flag /MT).,rule,,should,link,runtime and third-party libraries to the module,"static, flag /MT",
"3. Obfuscate strings with Andrivet library (attached, see _",unknown,,,,,,
STR() macro).,unknown,,,,,,
4. Obfuscate system calls with GetApi.h library.,unknown,,,,,,
"Be careful, obfuscation of system calls may cause crashes.",explanation,,,,obfuscation of system calls,may cause crashes,
MODULE DESIGN,unknown,,,,,,
1. Must have a Microsoft Visual Studio project of version 2015 or higher.,rule,,must have,have,Microsoft Visual Studio project,of version 2015 or higher,
2.,unknown,,,,,,
The Visual Studio project must be configured as follows:,unknown,,,,,,
* For ALL build profiles:,unknown,,,,,,
- General / Output directory: $(SolutionDir)Bin\$(PlatformTarget)\$(Configuration)\.,unknown,,,,,,
- General / Intermediate directory: $(SolutionDir)\obj\$(Platform)\$(Configuration)\$(ProjectName)\.,unknown,,,,,,
- General / Windows SDK version: <inherit from parent or project defaults>,unknown,,,,,,
- C/C++ / General / Multiprocessor compilation: yes,unknown,,,,,,
- C/C++ / Code Creation / Runtime Library: Multithreaded or Multithreaded Debugging (Release/Debug respectively),unknown,,,,,,
- C/C++ / Code Creation / Create Image with Update: No,unknown,,,,,,
- C/C++ / Code Creation / Enable C/C++ Exceptions: None,unknown,,,,,,
* Release profile:,unknown,,,,,,
- Debug Information Format (C/C++ General ):,unknown,,,,,,
No,unknown,,,,,,
- Create debugging information (linker / debugging):,unknown,,,,,,
no,unknown,,,,,,
Add to additional parameters,unknown,,,,,,
/DEBUG:NONE /EMITPOGOPHASEINFO,unknown,,,,,,
https://stackoverflow.com/questions/45538668/remove-image-debug-directory-from-rdata-section,unknown,,,,,,
- C/C++ / Code Creation / Enable security check: none,unknown,,,,,,
- C/C++ / Code creation /,unknown,,,,,,
Basic runtime checks: default,unknown,,,,,,
- C/C++ / Optimization / Omit frame pointers: yes,unknown,,,,,,
* When building LLVM-Obfuscator:,unknown,,,,,,
"Clang adds a string with the path to the .pdb symbol file, even if this is disabled by the build options.",explanation,Clang,,adds,a string with the path to the .pdb symbol file,even if this is disabled by the build options,
Suppress it like this (Visual Studio):,unknown,,,,,,
"- Composer -> Command Line, specify /pdbaltpath:<string>, instead of the path to the pdb will be this string.",unknown,,,,,,
5.,unknown,,,,,,
The module must have two versions - x32- and x64-bit.,rule,implied actor,must,have,two versions,- x32- and x64-bit,
6.,unknown,,,,,,
The module must be compiled statically and be a single .exe/.dll file.,rule,implied actor,must,compile statically,the module,,
"For .dll modules, it is acceptable to include a _test_ launcher as a .exe.",norm,implied actor,acceptable,include,_test_ launcher as a .exe,for .dll modules,
7.,unknown,,,,,,
"The combat build should have lines obfuscated to the maximum, and all debugging output disabled.",norm,implied actor,should,"have lines obfuscated to the maximum, and disable debugging output",the combat build,,
8.,unknown,,,,,,
The module must have a debug version.,rule,,must,have,a debug version,of the module,
Debug output should be output in modulename.log (the path to the log is configurable in the macro).,norm,,should,output,debug output,"in modulename.log, or configurable in the macro",
Each log entry must contain a timestamp accurate to the second.,rule,implied actor,must,contain,log entry,a timestamp accurate to the second,
9.,unknown,,,,,,
"There should be a config.h file in the project (the name is not important, the essence is important - all global settings - paths, macros-switches for conditional compilation, etc.).",norm,,should,be,a config.h file,"in the project with all global settings (paths, macros-switches for conditional compilation, etc.)",
10.,unknown,,,,,,
The module should work on all modern versions of Windows.,norm,,should,work,the module,on all modern versions of Windows,
The minimum supported version of Windows is Windows XP (if it is impossible - Windows Vista).,rule,,,support,minimum supported version of Windows,"Windows XP, if impossible then Windows Vista",
11.,unknown,,,,,,
"Additionally, the file notelemetry.obj (https://stackoverflow.com/questions/37761768/how-to-prevent-visual-studio-2015-update-2-to-add-telemetry-main-invoke-trigger) must be added to the layout.",unknown,,,,,,
12. entry point for Cobalt Strike:,unknown,,,,,,
#define DLL_API __declspec(dllexport),unknown,,,,,,
"extern ""C"" DLL_API",unknown,,,,,,
"void CALLBACK StartDLL(HWND hwnd, HINSTANCE hinst, LPSTR lpszCmdLine, int nCmdShow)",unknown,,,,,,
Called like this:,unknown,,,,,,
TStr DllCmdLine;,unknown,,,,,,
for(int,unknown,,,,,,
i = 1; i < argc; i++),unknown,,,,,,
DllCmdLine,unknown,,,,,,
+= TStr(argv[i]),unknown,,,,,,
"+ (i < argc - 1 ? """,unknown,,,,,,
""" : """");",unknown,,,,,,
char *OutputData;,unknown,,,,,,
int OutputSize;,unknown,,,,,,
int *p = &OutputSize;,unknown,,,,,,
"pStartDLL(HWND(&OutputData), HINSTANCE(&OutputSize), &DllCmdLine[0], SW_MAX + 1);",unknown,,,,,,
The entry point is blocking: the calling context can be blocked for any time needed to complete the function.,explanation,,,block,entry point,for any time needed to complete the function,
ASSEMBLY DESIGN,unknown,,,,,,
An assembly must have a directory structure:,unknown,,,,,,
modulename/Release_logged/x86,unknown,,,,,,
modulename/Release_logged/x64,unknown,,,,,,
modulename/Release_nologs/x86,unknown,,,,,,
modulename/Release_nologs/x64,unknown,,,,,,
Release_logged contains the version with logging and without obfuscation (but it is still a Release build profile!,explanation,,,,Release_logged,"with logging and without obfuscation, but still a Release build profile",
"i.e. it should have all optimizations enabled, debugging symbols disabled, etc.).",explanation,,,,,"all optimizations enabled, debugging symbols disabled, etc.",
"In release_nologs - version without log, with full obfuscation.",unknown,,,,,,
In the name of the directory with the assembly must be the name of the module and the date (for example cookies.22.04.2019).,rule,implied actor,must,be,the name of the directory with the assembly,the name of the module and the date (for example cookies.22.04.2019),
"If there are several builds of the same module on the specified date, a unique suffix should be added (e.g. cookies.22.04.2019.2).",norm,implied actor,should,add,unique suffix,if there are several builds of the same module on the specified date,
"This is necessary for normal operation of the module - so that testers and administrators can distinguish versions of builds,",explanation,,,,,,
"to make it possible to rollback or upgrade, as well as to provide the required build by its date.",explanation,,,,,"to make it possible to rollback or upgrade, as well as to provide the required build by its date",
A sample script for automated publication of builds is attached at the end of the document.,explanation,,,,sample script,for automated publication of builds,
Two files in Russian must be attached to the build:,rule,implied actor,must,attach,two files in Russian,to the build,
* README.txt - a brief description of the purpose and use of the program.,unknown,,,,,,
"It should contain non-obvious nuances, quick start, all the subtleties that the developer knows about",explanation,,should,,it,"non-obvious nuances, quick start, all the subtleties that the developer knows about",
and not known to outsiders.,unknown,,,,,,
The main requirement for the document: accuracy.,explanation,,,,accuracy,,
"If something is stated in the document, it must work without question within the specified limits.",rule,,must,work,something,within the specified limits,
Approximate structure of the document:,unknown,,,,,,
- Purpose of the program,unknown,,,,,,
- Brief description,unknown,,,,,,
- Syntax,unknown,,,,,,
- Format of configs and settings (if any),unknown,,,,,,
"- Limitations, known bugs and problems, supported OS and third-party software, system requirements",unknown,,,,,,
* RELEASE_NOTES.txt in the following format:,unknown,,,,,,
11.02.2010,unknown,,,,,,
Version 1.1,unknown,,,,,,
- new features such and such,unknown,,,,,,
- such bugs are fixed,unknown,,,,,,
"- such bugs are known and have not been fixed, but are planned to be fixed",explanation,,,,,,
- such nuances of using the version,unknown,,,,,,
01.02.2010,unknown,,,,,,
Fixed program crash due to this and that,explanation,,,,,,
01.01.2010,unknown,,,,,,
First version of the program,unknown,,,,,,
ASSEMBLY VALIDATION,unknown,,,,,,
"Before issuing an assembly, the developer is obliged to:",rule,developer,obliged to,issue,assembly,,
- independently perform a smoke test,unknown,,,,,,
- check for unobfuscated strings in Release_nologs binary files.,unknown,,,,,,
"This can be done either by simply viewing the file body in Far,",explanation,,,,,by simply viewing the file body in Far,
"or with IDA Pro (after the file parsing is finished, open Open Subview -> Strings),",unknown,,,,,,
