input_statement,statement_type,A,D,I,B,C,O
ERROR REPORTING RULES,unknown,,,,,,
"Copy this text, put Enter after each line, and answer the questions:",unknown,,,,,,
1.,unknown,,,,,,
What did I want to do?,unknown,,,,,,
2.,unknown,,,,,,
What did I do?,unknown,,,,,,
(detailed steps to reproduce),unknown,,,,,,
3. what happened?,unknown,,,,,,
(how did the system react),unknown,,,,,,
4.,unknown,,,,,,
What did I expect?,unknown,,,,,,
"(how should the system have reacted, in my opinion)",unknown,,,,,,
5.,unknown,,,,,,
What did I do to localize the error (what factors did I vary to find the error),unknown,,,,,,
"6. Environment (version and bitness of OS, build, and software involved; paths, specific settings, IP addresses and domains)",unknown,,,,,,
7. Logs and screenshots.,unknown,,,,,,
"Be sure to attach any attachments to the bug, rather than linking them to a file-sharing site.",norm,you,should,attach,attachments,to the bug,
"After a few days, the link will go stale, and the bug is addressed years later.",explanation,,,,,after a few days,"the link will go stale, and the bug is addressed years later"
